"Season","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","EV","ERA","FIP","xFIP","WAR"
"2015","COL","68","94","36","746","162","1426.1","7.02","3.65","1.15",".318","69.9%","47.7%","13.2%","88.5","5.04","4.56","4.33","8.3"
"2014","PIT","88","74","48","614","162","1456.1","7.59","3.08","0.79",".290","74.2%","50.5%","10.3%","","3.49","3.80","3.71","8.2"
"2014","ARI","64","98","35","650","162","1444.1","7.96","2.92","0.96",".312","70.3%","46.1%","11.1%","","4.26","3.83","3.63","8.2"
"2009","CIN","78","84","41","640","162","1458.1","6.60","3.56","1.16",".283","74.4%","42.1%","10.9%","","4.18","4.63","4.50","8.2"
"2016","LAA","74","88","29","689","162","1421.1","7.19","3.15","1.32",".301","75.0%","40.8%","12.5%","88.7","4.28","4.62","4.66","8.0"
"2008","ATL","72","90","26","707","162","1440.2","6.72","3.66","0.97",".293","69.7%","48.3%","11.4%","","4.47","4.35","4.20","7.9"
"2019","KCR","59","103","37","682","162","1425.0","7.77","3.68","1.40",".311","70.2%","43.9%","14.7%","89.8","5.20","4.90","4.98","7.9"
"2017","SDP","71","91","45","679","162","1430.2","8.34","3.49","1.42",".299","71.1%","47.5%","16.4%","87.5","4.70","4.68","4.34","7.9"
"2008","WSN","59","102","28","678","161","1434.0","6.67","3.69","1.19",".296","70.1%","42.4%","11.6%","","4.66","4.71","4.49","7.9"
"2012","SDP","76","86","43","691","162","1434.2","7.56","3.38","1.02",".284","71.8%","47.5%","11.7%","","4.01","4.11","4.05","7.8"
"2006","STL","83","78","38","630","161","1429.2","6.11","3.17","1.21",".288","72.5%","46.2%","12.5%","","4.54","4.77","4.54","7.8"
"2011","MIN","63","99","32","619","162","1421.2","5.95","3.04","1.02",".307","69.1%","44.0%","9.5%","","4.60","4.30","4.33","7.7"
"2006","BAL","70","92","35","634","162","1419.0","6.44","3.89","1.37",".307","69.2%","42.3%","12.7%","","5.35","5.09","4.80","7.6"
"2010","MIL","77","85","35","657","162","1439.0","7.87","3.64","1.08",".308","70.0%","41.8%","10.3%","","4.59","4.21","4.07","7.4"
"2014","COL","66","96","24","709","162","1431.0","6.75","3.34","1.09",".307","69.2%","47.7%","12.7%","","4.86","4.43","4.04","7.2"
"2013","SFG","76","86","41","686","162","1447.1","7.81","3.24","0.90",".295","72.1%","42.1%","9.9%","","4.00","3.80","3.89","7.1"
"2018","BAL","47","115","28","652","162","1431.0","7.57","3.70","1.47",".310","70.0%","41.9%","14.4%","88.6","5.19","4.98","4.73","7.1"
"2015","ATL","67","95","44","694","162","1425.1","7.25","3.47","1.07",".305","71.4%","43.4%","11.3%","88.6","4.41","4.34","4.36","7.0"
"2012","TOR","73","89","29","657","162","1443.2","7.12","3.58","1.27",".291","72.0%","46.5%","14.1%","","4.64","4.66","4.30","6.9"
"2009","BAL","64","98","31","646","162","1429.0","5.88","3.44","1.37",".307","70.3%","41.7%","11.6%","","5.16","5.03","4.78","6.8"
"2018","KCR","58","104","33","645","162","1432.0","7.27","3.45","1.29",".309","70.6%","43.1%","13.0%","89.2","4.95","4.66","4.63","6.7"
